w_id,stimulus,translation_en,translation_ru,stimulus_source,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
28,kʷeɬir,sleeve,рукав,native,b,b,b,b,b,b,b,b,b,b,r,b,b,b,b,b
29,hark'u,eye,глаз,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
30,rekun,thread,нитка,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
31,kredit,сredit,кредит,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
32,roʃon,rope,веревка,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
33,ɡurdo,shirt,рубашка,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
34,ɬol,horseshoe,подкова,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
35,tatʃka,wheelbarrow,тачка,loan,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
36,pult,remote control,пульт,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
37,telefon,telephon,телефон,loan,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
38,arkom,spoon,ложка,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
39,kalendarʲ,calendar,календарь,loan,r,b,b,b,b,r,r,b,r,b,r,r,b,b,r,b
40,zaʒiɡalka,lighter,зажигалка,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
41,sputnʲik,satellite,спутник,loan,b,b,b,b,b,b,b,r,r,b,r,b,b,b,r,b
42,zar,ice,лед,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
43,bil,mountain,гора,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
44,provod,wire,провод,loan,b,r,r,r,r,r,r,b,b,r,r,r,r,b,r,r
45,patʃka,bundle,пачка,loan,b,r,r,b,r,r,r,r,r,r,r,r,b,r,r,r
46,tɬ'ir,bridge,мост,native,b,b,b,b,b,b,b,b,b,r,b,b,b,b,b,b
47,salfʲetka,napkin,салфетка,loan,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
48,awʔara,hat,шапка,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
49,aptsʲeka,pharmacy,аптека,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
50,esemeska,SMS,смска,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
51,ts'umur,fork,вилка,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
52,ħetʃ'ink'a,maize,кукуруза,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
53,anzi,snow,снег,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
54,raχasi,chain,цепь,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
55,bint,bandage,бинт,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
56,hints'u,door,дверь,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
57,rok'o,heart,сердце,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
58,pasport,passport,пасспорт,loan,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
59,enʃːur,flour,мука,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
60,kolʲaska,perambulator,коляска,loan,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
61,planʲeta,planet,планета,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
62,romaʃka,camomile,ромашка,loan,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
63,tarif,tariff,тариф,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,r,b,b
64,antena,antenna,антенна,loan,r,b,r,r,r,b,r,b,r,r,r,r,r,r,r,r
65,maʃina,car,машина,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
66,inχi,river,река,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
